127.0.0.1 - - [22/Jun/2020:15:50:14 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:15 +0700] "GET /NguyenMart/ HTTP/1.1" 200 26493
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:15 +0700] "GET /NguyenMart/assets/user/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:15 +0700] "GET /NguyenMart/assets/user/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:15 +0700] "GET /NguyenMart/assets/user/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:15 +0700] "GET /NguyenMart/assets/user/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:15 +0700] "GET /NguyenMart/assets/user/js/move-top.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:15 +0700] "GET /NguyenMart/assets/user/css/flexslider.css HTTP/1.1" 200 3716
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:15 +0700] "GET /NguyenMart/assets/user/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:15 +0700] "GET /NguyenMart/assets/user/js/jquery.flexslider.js HTTP/1.1" 200 41110
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:15 +0700] "GET /NguyenMart/assets/user/js/bootstrap.min.js HTTP/1.1" 200 35951
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:15 +0700] "GET /NguyenMart/assets/user/images/4.jpg HTTP/1.1" 200 16660
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:15 +0700] "GET /NguyenMart/assets/user/js/minicart.js HTTP/1.1" 200 83152
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/6.jpg HTTP/1.1" 200 12774
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/5.jpg HTTP/1.1" 200 23805
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/tag.png HTTP/1.1" 200 6599
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/1.png HTTP/1.1" 200 24573
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/offer.png HTTP/1.1" 200 4373
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/3.png HTTP/1.1" 200 19993
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/2.png HTTP/1.1" 200 14204
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/4.png HTTP/1.1" 200 23359
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/7.jpg HTTP/1.1" 200 12427
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/8.jpg HTTP/1.1" 200 173029
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/10.jpg HTTP/1.1" 200 16842
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/9.jpg HTTP/1.1" 200 21655
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/11.jpg HTTP/1.1" 200 18717
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/card.png HTTP/1.1" 200 8725
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/img-sp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2020:15:50:16 +0700] "GET /NguyenMart/assets/user/images/2.jpg HTTP/1.1" 304 -
